year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ECOLE POLYTECHNIQUE Info.	823	10,9%	23,3%	199	9,0%	14,6%	165	9,7%	11,5%	105	8,6%	9,5%	77	75		105
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ECOLE POLYTECHNIQUE P&SI	808	16,3%	28,0%	156	14,1%	16,7%	120	15,0%	15,8%	82	15,9%	17,1%	46	45		82
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Ulm MPI	1879	17,0%	25,3%	154	9,1%	22,1%	88	10,2%	19,3%	35	8,6%	17,1%	28	31		35
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Ulm Info.	290	11,4%	25,5%	51	3,9%	19,6%	31	3,2%	12,9%	15	6,7%	13,3%	8	9		15
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Paris-Saclay MP	1912	16,6%	24,9%	283	8,8%	20,5%	192	10,4%	18,8%	18	11,1%	44,4%	149	136		18
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Paris-Saclay Info.	297	9,4%	23,9%	105	5,7%	26,7%	72	6,9%	20,8%	14	14,3%	21,4%	32	34		14
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS de Lyon MPI	1952	17,0%	25,8%	262	7,3%	21,4%	162	8,0%	22,2%	21	4,8%	42,9%	87	78		21
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS de Lyon Info.	265	8,7%	24,2%	104	2,9%	24,0%	71	2,8%	16,9%	23	0,0%	30,4%	46	44		23
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Rennes MP	1870	16,7%	25,1%	312	9,0%	21,5%	238	9,7%	21,4%	10	10,0%	50,0%	157	156		10
2022	MP	Banque ECOLE POLYTECHNIQUE - interENS	ENS Rennes Info.	287	9,8%	21,3%	100	6,0%	17,0%	80	3,8%	18,8%	7	0,0%	28,6%	62	56		7
2022	MP	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant	3777	18,3%	23,1%	986	14,1%	16,0%	958	14,3%	16,1%	300	15,0%	15,0%	395	388		290
2022	MP	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant - étr.	199	28,1%	26,6%	59	15,3%	20,3%	58	15,5%	20,7%	8	37,5%	37,5%	41	39		8
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE LYON	3932	19,6%	22,9%	1104	15,2%	17,3%	1076	15,4%	17,3%	124	19,4%	32,3%	805	776		127
2022	MP	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1599	21,8%	26,0%	797	20,8%	22,6%	712	21,8%	21,6%	30	40,0%	30,0%	566	548		32
2022	MP	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - étr.	73	38,4%	28,8%	27	22,2%	25,9%	26	23,1%	23,1%	0	0,0%	0,0%	0	0		2
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE LILLE	3636	20,5%	23,8%	1094	16,9%	20,7%	1072	17,1%	20,6%	91	20,9%	30,8%	938	889		90
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE NANTES	3735	20,0%	22,9%	1272	16,4%	19,4%	1241	16,6%	19,3%	105	20,0%	17,1%	900	869		110
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE	3352	21,0%	22,6%	1417	17,4%	20,2%	1302	18,4%	19,5%	72	15,3%	19,4%	1017	980		80
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE CASABLANCA	715	18,5%	29,7%	150	10,7%	34,7%	133	12,0%	32,3%	0	0,0%	0,0%	0	0		8
2022	MP	Banque CENTRALE-SUPELEC	CentraleSupélec - statut étudiant - CI										25	36,0%	0,0%	30	29		24
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE LYON - CI										6	16,7%	0,0%	54	54		8
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE LILLE - CI										6	0,0%	16,7%	68	68		6
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE NANTES - CI										1	0,0%	0,0%	45	45		2
2022	MP	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										2	0,0%	0,0%	106	106		3
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										2	50,0%	50,0%	77	77		2
2022	MP	Banque CENTRALE-SUPELEC	Concours Cycle International Centrale-Supelec MP	730	34,4%	9,3%	272	27,2%	8,8%	259	28,2%	8,5%	42						45
2022	MP	Banque CENTRALE-SUPELEC	CENTRALE CASABLANCA - CI	730	34,4%	9,3%	272	27,2%	8,8%	132	34,1%	9,1%	1	0,0%	0,0%	88	88		30
