year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ECOLE POLYTECHNIQUE	1324	28,6%	20,4%	244	29,9%	12,3%	162	30,2%	9,3%	132	28,0%	9,8%	77	77		132
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ESPCI Paris	1362	32,5%	19,5%	467	29,6%	15,8%	426	30,3%	14,8%	58	31,0%	12,1%	259	249		55
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ESPCI Paris Etranger	52	28,8%	26,9%	15	20,0%	26,7%	14	21,4%	28,6%	1	100,0%	0,0%	12	12		2
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS Ulm	1342	29,0%	21,5%	110	23,6%	17,3%	71	28,2%	16,9%	18	27,8%	27,8%	25	26		18
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS Paris-Saclay PC	1506	29,3%	20,1%	298	26,5%	20,1%	190	26,3%	21,6%	18	22,2%	38,9%	116	99		18
2023	PC	Banque ECOLE POLYTECHNIQUE - ESPCI - interENS	ENS de Lyon	1359	28,9%	20,5%	280	26,4%	22,5%	193	30,1%	20,2%	26	26,9%	46,2%	141	129		26
2023	PC	Banque CENTRALE-SUPELEC	CentraleSup̩lec - cursus apprenti - Campus Metz										2	0,0%	50,0%	694	694		2
2023	PC	Banque CENTRALE-SUPELEC	CentraleSup̩lec - cursus apprenti - Campus Rennes										5	40,0%	20,0%	641	583		5
2023	PC	Banque CENTRALE-SUPELEC	CentraleSup̩lec - statut ̩tudiant										169	22,5%	18,3%	269	261		170
2023	PC	Banque CENTRALE-SUPELEC	Concours CentraleSup̩lec PC	2651	34,5%	19,7%	756	28,0%	16,0%	743	28,4%	16,2%	176						177
