year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	MPI	Banque ECOLE POLYTECHNIQUE - interENS	ENS Ulm	319	8,8%	2,8%	28	0,0%	0,0%	20	0,0%	0,0%	8	0,0%	0,0%	8	7		8
2023	MPI	Banque ECOLE POLYTECHNIQUE - interENS	ENS Paris-Saclay	331	8,8%	2,7%	56	1,8%	0,0%	38	2,6%	0,0%	5	0,0%	0,0%	16	19		5
2023	MPI	Banque ECOLE POLYTECHNIQUE - interENS	ENS de Lyon	329	8,8%	3,0%	54	1,9%	0,0%	47	2,1%	0,0%	12	0,0%	0,0%	37	33		12
2023	MPI	Banque ECOLE POLYTECHNIQUE - interENS	ECOLE POLYTECHNIQUE	261	5,4%	1,1%	39	2,6%	0,0%	28	3,6%	0,0%	20	5,0%	0,0%	16	15		20
2023	MPI	Banque ECOLE POLYTECHNIQUE - interENS	ENS Rennes Info.	326	9,2%	2,8%	84	4,8%	0,0%	72	5,6%	0,0%	7	0,0%	0,0%	43	39		7
2023	MPI	Banque CENTRALE-SUPELEC	CentraleSup̩lec - statut ̩tudiant	530	8,1%	0,4%	125	8,0%	0,0%	122	8,2%	0,0%	33	12,1%	0,0%	69	65		32
2023	MPI	Banque CENTRALE-SUPELEC	Centrale Lyon	525	8,4%	0,4%	149	8,1%	0,0%	146	8,2%	0,0%	15	6,7%	0,0%	116	115		15
2023	MPI	Banque CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	195	8,7%	0,0%	78	6,4%	0,0%	76	5,3%	0,0%	1	0,0%	0,0%	70	70		8
2023	MPI	Banque CENTRALE-SUPELEC	Centrale Lille	455	9,7%	0,4%	155	9,0%	0,0%	153	9,2%	0,0%	7	14,3%	0,0%	118	108		10
2023	MPI	Banque CENTRALE-SUPELEC	Centrale Nantes	444	9,2%	0,5%	148	8,8%	0,0%	147	8,8%	0,0%	5	0,0%	0,0%	84	83		5
2023	MPI	Banque CENTRALE-SUPELEC	Centrale M̩diterran̩e	370	9,5%	0,3%	141	7,8%	0,0%	136	7,4%	0,0%	5	0,0%	0,0%	107	110		10
2023	MPI	Banque CENTRALE-SUPELEC	Centrale Casablanca	107	7,5%	0,0%	32	0,0%	0,0%	31	0,0%	0,0%	0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	ENSEA Cergy	236	10,6%	0,4%	175	10,3%	0,6%	132	9,8%	0,0%	6	0,0%	0,0%	125	122		15
2023	MPI	Banque CENTRALE-SUPELEC	EPF campus Troyes										0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	EPF campus Montpellier										0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	EPF campus Cachan										1	100,0%	0,0%	39	39		2
2023	MPI	Banque CENTRALE-SUPELEC	Concours EPF Paris - Cachan - Troyes - Montpellier - MPI	66	13,6%	1,5%	55	14,5%	1,8%	45	15,6%	2,2%	1						6
2023	MPI	Banque CENTRALE-SUPELEC	ESTP - campus de Dijon										0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	ESTP - campus de Cachan										0	0,0%	0,0%	0	0		4
2023	MPI	Banque CENTRALE-SUPELEC	ESTP - campus de d'Orl̩ans										0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	ESTP - campus de Troyes										0	0,0%	0,0%	0	0		2
2023	MPI	Banque CENTRALE-SUPELEC	Concours ESTP MPI	51	13,7%	2,0%	44	15,9%	2,3%	24	12,5%	0,0%	0						10
2023	MPI	Concours Commun MINES-PONTS	Chimie ParisTech										0	0,0%	0,0%	0	0		2
2023	MPI	Concours Commun MINES-PONTS	ENSAE Paris										11	0,0%	0,0%	150	140		10
2023	MPI	Concours Commun MINES-PONTS	ENSTA Paris										9	11,1%	0,0%	121	104		10
2023	MPI	Concours Commun MINES-PONTS	ENSTA Paris - apprentissage										1	0,0%	0,0%	147	147		1
